"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","11546000","0","0","0","1531.79396411895","609017.725054563","-124251.615741057","5389048.33419248","22627066.2732679","8891714.10689734","30506460.9457783","52240416.0162577","27459062.6492974","219081534.082655","23425969.0675175","30262870.0737815","28804082.7021233","28751924.3342048","70519382.3653528","29056823.8983208","7012505.83172007","-132995060.898837","-27278869.1166219","",
"American Samoa","ASM","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6332102.67407407","14075528.7777778","37982582.2788889","11636883.9761667","-1042646.02502499","-551917.225925918","-8164571.10362963","",
"Australia","AUS","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","111363907.1","104498074.1","128771023.6","255864630.5","240884044.4","161021952.6","267633242.2","266127020.2","235789936.3","343154404.9","460008835.8","733152152","692794029.1","518013351.2","1403222409.4","1886318083","3418517751","5099497262.2","6845793844.8797","3024469774.87597","633078140.353991","-1172055088.81486","3835344660.46716","2545789066.23013","1827817069.01995","4045649269.07914","5006395609.78187","6082141450.05904","4666647575.31934","311364927.775298","4095019475.21023","13380829228.7871","6974350065.65034","18597832802.7514","9785047534.0305","-32713394186.5094","24082532470.0581","14420781947.9789","31887673440.919","11463844142.2403","18068580537.9747","8250639449.1207","5763649125.05455","-769705628.088571","22565879021.4598","8258809107.18849","-3108643986.26261","10004858409.6863","275082878.233431","9490112103.56973","12288730997.3868","",
"Austria","AUT","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","8650000","36119999.9","38369999.9","38759999.9","19730000","25829999.9","56210000","86099999.9","89810000","84859999.9","100720000","210940000","139300000","188630000","70310000","43500326.2","294751459","316393118.4","283453598.6","861632415.5","1701000000","1293000000","1760037229.4923","1178548217.6795","1241015850.2394","1083553079.0561","1889079774.5433","1998372652.3951","2768044224.7606","3300911863.7116","5509489589.0916","3021896895.7772","5780433861.9359","6859781904.5319","8029899486.5682","81289428264.3297","16087848123.8493","79039906399.5073","27903023947.0494","15558174355.0001","-14327624858.1531","38145284752.7664","18444297859.0075","11031000205.4569","-875366262.428339","-2139495177.68873","-26915802129.1463","10108273841.7013","-26914104175.5493","-6683898436.68866","-8250137804.09776","",
"Azerbaijan","AZE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3899260.3","4000","20000","","760000","593066000","957756000","1655583000","2367824000","4017245000","5775441000","9628755000","4527631000","2752849000","3021842000","3552538000","4480843000","1477887000","1987073000","3209378000","2573601000","2564380648.1","1760877000","2431719000","825278000","",
"Burundi","BDI","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","-1128364","134312.6","107140.6","54394.6","50420.1680672268","5839.23136251164","27546.2995907998","0","135925.529285773","102904.071637065","600582.565088136","0","0","0","-238660.308306532","-11683240.6730743","-9152.73016306312","0","-4618.42567105725","0","0","0","35031.945726051","581517.525999261","","","","","166742.671515973","27413.4386193281","152172.691406039","36443.2661547015","9947.63035299629","","748032.1896","1976466.212","",
"Belgium","BEL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","174000000","206000000","177000000","269000000","479000000","237819999.9","351810000","465209999.9","559769999.9","1340680000","196030000","103790000","-69060000","354720000","292870000","296490000","1723000000","2782239999.9","3784150000","6486239999.9","6314439999.9","6270930000","11407000000","4903560000","1371380000","11603000000","8026119999.9","7252119999.9","28845299999.9","122304174000","86361710000","100646089000","8919905175.24668","39066046690.8914","34747346752.7419","32538356840.7282","50131037367.7936","83458030314.2461","223255888880.174","33339457355.6732","66826887403.7522","129105955538.419","41494610352.3914","-12369146243.8639","-418230387.505058","7330131584.53743","34555153239.338","-5300154945.24966","-36001467214.8079","-34798044202.4082","-19436263972.534","",
"Benin","BEN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","0","0","0","0","0","197441.121450697","0","29440.8318393629","529509.096588577","543212.935373285","473731.187111418","0","0","0","-21662039.8992973","-63214656.2718651","-65331621.2266846","-120386984.294013","-76617409.1622505","-23039767.5127818","-20756308.6014432","-21067881.7247822","-28257123.1111139","-1692739.15473124","-21454296.0045888","-28519512.696069","-69088213.0120497","-24849887.1139035","-31611044.9713541","-33878405.2374068","-106045831.280152","-62238936.9702741","-67341643.1421392","-122492414.839961","-126320616.067679","-122321506.414602","-141400184.564944","59727707.3372035","40333256.9767816","58589597.1620691","17278325.7762561","32699285.3253195","17381205.5407281","31907387.6488138","9770518.6844654","27149514.3047845","21526688.7132307","",
"Burkina Faso","BFA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","380000","680000","250000","370000","770000","360000","30000","30000","230000","30000","10000","30000","40000","107140.6","167871.4","783681.8","-550940.4","133537.6","122093","1553875.3","6844318.7","200341.3","654869.8","1046826.1","5264835.1","193276.26","167140.4654","597512.5471","1715954.9375","1918444.5974","-8947821.725","17769277.1963219","49318024.9440669","-315665182.304663","-71069500.1241984","-14709965.4314707","683112.206033833","102372712.337146","72955709.6730426","58306989.1314913","69546309.3351375","14104930.650823","50509140.0404919","10268820.6142996","67713349.20104","16434236.2293773","-7138882.75218105","",
