"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.37372471423221","0.0729748637751004","63.6621894433163","20.304669453107","1.03729603729476","0.63434760185771","0.121076233186413","0.126903553297124","0.0647773279352227","0.0145878920495988","1.87856424018786","-0.103761348897535","0.140172979421414","-0.19440353460972","-0.313211845102505","-0.158513254987701","-0.361744301288405","-0.375609072855025","-0.519171451615369","1.47715418318381","0.0982511298879939","0.0590680376285278","0.111566484517304","0.118593816179585","0.10681478316599","0.162020643047307","0.31759693755004","0.354854260935143","-0.0140340929926646","2.69003300415348","0.948415439363641","1.80534304409272","0.206735051149294","",
"Africa Eastern and Southern","AFE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.106420089031382","0.312747607212241","0.0182308496918137","0.605584163052944","0.468353687093198","0.00662905499843099","0.126685810508675","0.159551440970066","0.0573610519673886","0.0661763769700202","0.120929052468614","0.0303749626941999","0.0934724667768844","0.0286797653341492","0.107682685595157","0.94211466095072","0.180444889826327","0.627923293422737","1.111124423055","0.467139443122079","0.966977773196643","0.679214412691313","0.678439840600416","0.11839606100373","-1.49466427026734","-0.108173293552561","0.25602850668663","0.509107979004804","0.273396937263949","1.23403503827394","0.667153613200505","0.0986509033727593","0.274400388781417","0.403349911038969","0.306972708486593","0.52863220527126","1.15872341503323","1.05881559646788","0.802932761150732","0.879529046127333","1.25511456240807","0.54773626668552","0.221405726815318","-0.232725827483643","",
"Afghanistan","AFG","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","0.0221456533398258","-0.0133925697947868","0.0241579441566191","","","-0.0189729768645276","0.00199023702625434","-0.00787080018609353","0.00638657772711685","-0.044510525022857","0.00266707132369356","-9.34458323458972E-05","0.0113046365066387","0.0773107292174807","0.0600461460560642","0.214940510355144","0.140009657392556","0.18506772693213","",
"Africa Western and Central","AFW","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.0570241248234985","0.0144423205453587","0.0309224794040643","0.00212008593174688","0.0160814185625353","0.00432177916674235","0.0129261726503134","0.0206487936708658","0.0224406116823986","0.0326006160884672","0.0220374761563455","0.056025220012603","0.833191925636436","0.341671775410753","0.285352796349124","0.315994818864381","0.492791400185212","0.144737751884679","0.270124629456041","0.623430799390762","0.257412174510747","-0.145878777771549","0.0853355303851762","0.751853978201147","-0.260931775578891","-0.0105821075366087","0.0782833930914","0.230847581746545","0.321266055735567","0.220222748242168","0.233843799325211","0.160619429604675","0.269718912286318","0.63496337635158","0.377068095093381","0.639577958816407","0.409246140945964","0.476332277569968","0.390848270867974","0.369414640233654","0.181052796507341","0.0569806115404928","0.235290704561957","0.164486052991138","",
"Angola","AGO","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.00801512902751762","0","0.00227377224398265","0.0346697335600907","-0.0450620852381655","-0.0180546176233575","-0.165030816679083","0.0519511418635439","0","-0.00143484650820667","0","0","0.654936894008732","0.538379774105678","3.32555379045534","0.593336776141396","0.363843876298165","1.39701397330902","2.90228630256028","0.00960517238065874","1.64068135415298","1.91219734455432","0.709191040760642","0.69082097249084","0.646141001249097","-0.8998814555447","0.547757411594338","1.96020136451571","0.00734535483442038","-3.38977951293825","0.168810214378126","",
"Albania","ALB","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.189345822209065","0.0504407207302106","0.118029608071179","0.045988300531977","2.84081748460942","3.27670004352576","0.388922861174565","1.56771151892709","0.675159004371094","0.222675719374154","0.571867614426769","0.696510055396961","0.0593427941525096","-0.815504361822346","-0.0297783532738953","0.259559184787758","0.331077483402973","",
"Andorra","AND","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","0.0708670235010353","0.0829290306222706","-0.0572213351657444","0.17640089727136","-0.0277007304374249","0.113284039314485","0.0713896284879323","0.0627762559776921","0.0344132442312147","0.107933365833273","0.23761527523109","0.644628319481515","0.495481016464775","-0.0146733823669222","0.016953464019919","0.298690214898699","0.0692018114604603","-0.0387637054359431","-0.105229926469363","0.459155302323173","0.0331989318947748","-0.149854515598593","0.177577642493517","0.3014577044557","-0.0953524132153639","0.396098070222059","-0.202473140076741","0.780716191831833","0.899527203145294","1.4860465093042","2.09278773523027","1.95709381698626","0.961101178024836","0.9370129354029","1.31013357484094","0.808148538956137","1.58191786384211","1.45741780324447","1.55043228546593","1.73789852913695","1.44530712373481","1.64420674777876","1.66074732966222","1.25097843633221","",
"United Arab Emirates","ARE","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","-0.00458728764275727","0.00608106988840604","0.0171590165466953","0.00700880157320962","0.0239188933846765","0.0272625656483469","-0.0687186892038971","-0.0305316777845907","0.191892168040896","0.00889199822340328","-0.11370759161456","0.0202548726594204","0.0280170206717827","0.0552977437370715","0.972936474388059","0.0950158041884025","0.174814834703828","0.293169184087997","0.168220923304332","0.375516182475913","0.406054970149591","0.206851125310942","0.401686089742933","0.797088437337462","1.49366440406348","2.07637724205889","4.90362537280514","5.6482442406369","5.01476163553162","1.07392165844339","0.69533721404896","0.621103738977842","0.677008605843132","2.26305242273309","2.91114285177509","4.66070129707912","4.40039578612384","3.64619948368407","3.57147198542805","5.08757584756857","5.2769512250723","",
"Argentina","ARG","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","0.00575287423358278","","0.00481674452010613","","0.00330771189429498","0.0085566660808662","0.00301351372057457","-0.00176115249505951","-0.0395985941088929","-0.0851956907343826","-0.142927820216764","-0.135999357347732","-0.035584028329655","0.0019234633398725","0.0550738365442865","0.0478971307410063","0.0100958632153209","0.0433197755333271","-0.0179682122596959","0.0840333662374383","0.0246921834542787","0.026030833857814","0.509603281081135","0.29782246020955","0.393429148539466","0.58021890716937","0.588186834637915","1.24729579763641","0.777886139156192","0.610279589310215","0.317035999467937","0.0598729562211523","-0.641746114274746","0.606472572254758","0.410542023782955","0.659695664726798","1.04865387216475","0.523155949452163","0.384705758443082","0.213692689034262","0.227738014604063","0.280668249144006","0.193202129776027","0.161219624584565","0.364900179293754","0.147160030086657","0.320435945124207","0.179549215304451","0.328871311720677","0.336277868511711","0.331752289994555","",
"Armenia","ARM","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.609697355056074","0","0","0","6.44603531455075E-05","0.0216959205079264","-0.00347400006399905","0.10997003122309","0.354408924511226","0.096582910231094","0.261587673154684","0.604079534097166","0.296525029561644","2.160117621047","0.220597636763357","0.272112244075524","0.248107589453559","0.272443896188402","0.668675124064555","0.252066175147185","0.0562894407764181","-0.976519683519888","-0.21579318390922","",
"American Samoa","ASM","Foreign direct investment, net outflows (% of GDP)","BM.KLT.DINV.WD.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
