"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173850348.63405","2067532467.53247","1063520722.19943","1200012843.51417","1311138636.33807","1507838735.18942","1641698946.23708","1736697182.63351","1952541820.81269","1900438465.96643","1970535935.80291","2182070540.84243","2458706347.955","2899936467.50868","3724967487.29965","5106476347.91383","6686478486.4643","9703722526.74893","12353321001.708","9006718249.36627","9718566137.71057","10502184909.0834","11042356185.4721","11804012824.1465","12131728948.9464","10981745196.8255","10791285342.4912","11932816382.6628","12658312508.8641","13798304656.4529","12445092090.553","13469245077.1185",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77296753.7037037","87479341.4814815","107279978.888889","130231026.666667","145841734.444444","160669278.888889","181144092.962963","207972846.296296","238223924.814815","254406807.407407","297215602.592593","367011801.851852","393313307.037037","414144444.444444","449507407.407407","469614814.814815","512237037.037037","562870370.37037","550422222.222222","607511111.111111","658462962.962963","706822222.222222","742754814.814815","781851481.481481","775693333.333333","772934777.777778","817700000","874644296.296296","980922740.740741","1110919629.62963","1260091851.85185","1308986333.33333","1177509333.33333","1120979666.66667","1102571925.92593","1160321814.81481","1142788111.11111","1188978481.48148","1252478555.55556","1339483000","1389228037.03704","1527993259.25926","1581477851.85185","1345593296.2963","1454600000",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18638145369.0223","19660656288.4981","19979840967.6336","21477209093.9635","23796617762.3474","26051069548.6617","27248292081.9801","30227349087.2438","32409004367.7903","36147384925.5236","40865718445.5146","44717213573.7485","51818925233.6449","63870595771.9411","88657332350.7738","97511948654.9229","105063658136.897","109574443679.743","117067448680.352","133256844257.639","148418941504.178","176304423545.803","190343153481.187","175911090313.524","191199058141.641","177981897675.846","179077364297.706","185907226045.527","231615977881.257","291510463317.319","300390150057.714","312682677968.762","312763977543.644","303643901068.016","315541335178.139","355236857736.858","386905918057.663","420700422601.346","386812724682.9","376947612482.767","403586007661.873","368463024578.727","384614901632.482","454240535818.288","596683738796.415","669313637047.061","718496555855.047","815904059040.59","1012035810205.91","895503607716.095","1103064388267.42","1341845607808.34","1499484429779.34","1537134502923.98","1429194895804.65","1323095931441.88","1178298151113.7","1290877140055.81","1383829935663.9","1347404520097.27","1300687089422.17","1528228225987.01",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6547435003.94828","7261554769.09295","7702864742.40645","8316686909.51263","9107032740.77774","9925462658.21539","10814480797.1072","11489682471.2034","12325481697.6437","13471334741.5813","15443633765.5464","17953394646.9876","22152287040.8953","29621908075.058","35366590842.1673","40232688630.7972","43082843445.578","51650574473.3994","62141791907.5145","74071758106.0216","82147201659.2214","70953553654.7434","71298486730.6606","72301811705.2245","68089737294.5465","69509477919.6595","98916000000","124038666739.225","133707123593.001","133607136765.471","167219692605.591","173663627578.079","195560524668.169","190907108718.798","203849993976.629","240111095946.499","237117494151.287","211805502311.422","216933192530.013","213816817016.487","195571539888.471","194807930724.607","213150567298.393","261614209917.843","301042148420.889","315422915386.77","337065504176.47","388793244757.766","435655713060.469","401584639080.312","395556468123.334","433140701458.172","409815209653.594","431351356436.825","443168199835.449","378210199399.805","395807521992.608","413348647948.824","450712705812.078","443403031107.45","432770909845.449","476602256573.486",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1575000000","1194267515.92357","2413504021.75144","3167150993.83936","3953079914.69075","4461488756.7847","4768203883.49515","5178252123.37953","5562976484.48405","6041863814.03004","7024946543.12188","8166785387.19853","11734927015.0201","18471009626.1473","28220137513.1104","43832156767.2833","41022020403.0854","49741091452.7785","61439913891.3512","65739180244.3992","70475971956.6603","73087339028.433","51377317977.7474","35591903239.9574","39320590285.8471","44853529411.7647","46318529411.7647","42422882352.9412","53303558823.5294",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982555.669407","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470806.166974","796772713.286962","884786065.883137","864477157.825014","811709078.127599","766758030.795662","887956197.145997","1099412999.83025","1264575020.63803","1350299364.97898","1607535901.77136","1764455092.55887","2021328812.72312","2218375410.85042","2326824935.72295","2453407222.26638","2698322198.02498","3104359944.02437","2638052568.41009","2713792116.84019","2665763986.31974","2588683262.62983","2795055419.38111","2910056855.78316",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","11807650531.4178","12526323162.3247","13375866329.3162","14357591976.3048","16056233835.587","17501627559.3633","18795959368.4511","20151866620.6696","21553812529.3565","23898239777.8942","27089802339.6531","30210254913.2473","37705546695.9949","48300143862.5543","56680050745.6504","66428486344.1922","71947319749.2163","83582818232.9769","102036695273.473","116682691249.312","126898081114.637","104870916992.612","91784983224.4393","86845298619.3294","83204003071.7677","86372091854.0662","120264512371.32","150162393300.918","163105286889.742","164539499385.749","205980494929.986","211977481393.975","236359025094.103","228457699393.657","250882987701.953","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264261508381.506","242895045507.608","241174671366.339","262848882179.059","324156068000.195","374341455841.082","390533497082.023","414131146527.529","477472767241.296","529910842181.875","492240893720.195","488810029890.001","524167615222.764","507665999692.266","534645338501.413","546624135613.253","468878816162.656","480629064768.328","507373706788.236","548082287049.96","540431916980.391","527384952969.496","605234781877.509",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482256.374618","234942178.93575","235707398.233325","253176456.759629","269046284.249259","289108711.752874","302825280.936379","305821992.521166","324923111.412895","328248201.458221","331127773.89255","331970322.836033","408231890.87227","504376035.716401","556954764.489435","675570202.26034","698408244.385343","749849740.536153","929143313.336811","1187431250.04701","1402351617.0042","1287919998.96957","1261778450.07841","1082048347.00551","1021533916.74736","1024412704.80765","1310102040.42149","1533812033.87541","1595446185.67445","1464137967.57012","1921032589.5966","1955598277.10701","1634867229.43653","2234725312.9474","1562942646.55901","2125371588.68986","2315095356.60472","2238481480.09815","2441702752.83506","3665050945.34564","3507693520.77138","3651633531.89121","4166070358.75921","5311079166.76295","6153203448.26278","6549889010.77726","7003871938.89427","8120525153.15992","9776381165.91928","9705498737.59657","9481808905.23597","10677800294.7913","11074624287.2725","12448829094.0102","13223294116.3604","11295642491.5136","11718307251.9058","12561416657.8261","14105967001.3224","14248202200.5049","15488837356.19","17599873230.3829",
"Burkina Faso","BFA","GNI (current US$)","NY.GNP.MKTP.CD","334894683.458193","353437393.200117","388060809.61121","397465283.956502","413758165.215943","419289066.105609","432185731.834789","449034466.134067","458847277.903514","476700139.944284","458404330.125096","481906375.553147","577291786.296422","674535298.704468","748879357.985116","927901103.013398","967025139.516343","1111036655.04313","1464483145.79854","1739271805.02591","1924639176.2385","1766034537.0338","1744187907.23124","1590193730.74481","1454929871.31219","1546793106.48774","2030903473.20101","2361034550.86668","2602940566.70478","2603687662.6721","3093954852.0411","3125829319.6657","3344716325.55296","3180859743.83623","1881026818.03666","2369479998.13282","2593450635.16465","2445476074.98354","2802105646.59689","3393482747.50505","2964619404.17455","3178291895.10016","3588060318.58699","4686123998.48663","5406280264.27073","6082308114.38945","6528831919.79872","7603256785.93045","9414698383.8565","9333204306.50313","9807542028.87947","11592645414.5434","12243495998.7762","13080708252.0415","13337501703.1647","11293125626.5734","12261728542.5585","13577335799.2769","15387935651.7684","15326472487.9717","16664828374.0397","18717882892.8368",
